Product,SKU Group,Brand,Retail Category,Revenue,Units,Last Order
Passion Orange Guava (POG),,Micro Bar,,3675.0,245,2026-06-16
Cherry Limeade Slush *Quickstrike*,,Micro Bar,,2115.0,141,2026-04-18
Strawberry Mochi,,Micro Bar,,2085.0,139,2026-06-16
Pink Lychee,,Micro Bar,,1590.0,106,2026-06-16
Watermelon Mimosa,,Micro Bar,,1530.0,102,2026-06-16
White Grapez,,Micro Bar,,1425.0,95,2026-03-15
White Razz,,Micro Bar,,1335.0,89,2026-06-16
Zhirley Temple,,Micro Bar,,1320.0,88,2026-06-16
Blue Hawaiian Punch,,Micro Bar,,1290.0,86,2026-06-16
Super Bubble,,Micro Bar,,1275.0,85,2026-06-16
Blackberry Slush,,Micro Bar,,1245.0,83,2026-05-12
Melon Bar,,Micro Bar,,1170.0,78,2026-06-16
Pineapple Express,,Micro Bar,,1155.0,77,2026-05-12
Sativa - Pineapple Maui Wowie,,Micro Bar,,990.0,66,2026-06-16
Strawberry Fields,,Micro Bar,,915.0,61,2026-05-12
Blueberry Kush,,Micro Bar,,855.0,57,2026-05-12
Lemon Diesel,,Micro Bar,,750.0,50,2026-06-16
Golden Dragon Fruit,,Micro Bar,,735.0,49,2026-05-03
Indica - Code Red,,Micro Bar,,720.0,48,2026-06-16
Sativa - White Gummiez,,Micro Bar,,705.0,47,2026-06-16
Trophy Wife - Platinum 1g Preroll,,Phat Panda,,670.9,460,2026-06-08
Prickly Pear,,Micro Bar,,600.0,40,2026-06-16
Hybrid - The Dew,,Micro Bar,,570.0,38,2026-06-16
Rocket Popz,,Micro Bar,,555.0,37,2026-05-03
Indica - Raspberry Skywalker Panda Pen,,Panda Concentrates,,517.8,73,2026-05-18
Hot Shotz - Dragon Fruit THC,,Hot Shotz,,505.8,168,2026-06-08
Hot Shotz - Blue Raspberry THC,,Hot Shotz,,473.4,156,2026-06-08
Energy Hot Shotz - Green Apple,,Hot Shotz,,468.0,156,2026-04-14
Hybrid - 3pk Lemon Cherry Gelato Snickle Fritz Cart,,Snickle Fritz,,450.0,45,2026-06-08
Indica - 3pk Slurricane Snickle Fritz Cart,,Snickle Fritz,,450.0,45,2026-06-08
Hybrid - 3pk Lime Sorbet Snickle Fritz Cart,,Snickle Fritz,,430.0,43,2026-06-08
Sativa - 3pk Tropical Slushie Snickle Fritz Cart,,Snickle Fritz,,410.0,41,2026-06-08
Energy Hot Shotz - Blue Raspberry,,Hot Shotz,,401.4,132,2026-06-08
Indica - 3pk Hawaiian Zkittlez Snickle Fritz,,Snickle Fritz,,400.0,40,2026-06-08
Hot Shotz - Watermelon THC,,Hot Shotz,,399.6,132,2026-06-08
Indica - GMO Panda Pen,,Panda Concentrates,,390.25,55,2026-06-08
Hybrid - Berry Gelato Panda Pen,,Panda Concentrates,,379.25,50,2026-06-08
Hybrid - Peach MAC,,Micro Bar,,375.0,25,2026-04-18
Indica - Pink Guava Sherbet,,Micro Bar,,375.0,25,2026-04-18
Sativa - Peach Ringz Panda Pen,,Panda Concentrates,,366.1,49,2026-05-03
Black Zoap 1g Preroll,,Phat Panda,,362.8,260,2026-04-14
Phat Panda Flower (Golden Pineapple/3.5g),,Phat Panda,,352.68,54,2026-06-08
Hybrid - Watermelon Pineapple,,Micro Bar,,338.35,33,2026-06-16
Hybrid - Strawberry Mochi,,Micro Bar,,330.0,33,2026-06-16
Energy Hot Shotz - Cherry,,Hot Shotz,,327.6,108,2026-06-08
Indica - Blue Hawaiian Punch,,Micro Bar,,300.0,30,2026-06-16
Sativa - Pineapple Upside Down Cake SF Cart,,Snickle Fritz,,299.35,58,2026-05-18
Hot Shotz - Watermelon 1:1 100mg THC/CBD,,Hot Shotz,,290.4,72,2026-06-08
Indica - Acai Berry Gelato,,Micro Bar,,280.0,28,2026-06-16
Hybrid - Lemon Cherry Gelato Snickle Fritz Cart,,Snickle Fritz,,277.95,52,2026-06-08
Indica - Tiger Blood Panda Pen,,Panda Concentrates,,274.6,37,2026-05-03
Indica - 3pk Grape Goji Snickle Fritz Cart,,Snickle Fritz,,270.0,27,2026-06-08
Golden Pineapple 28g Preroll Pack,,Phat Panda,,269.98,8,2026-06-08
Trophy Wife 28g Preroll Pack,,Phat Panda,,269.98,8,2026-06-08
Wedding Cake x Terpee Slurpee 1g Preroll,,Phat Panda,,264.6,190,2026-04-14
Phat Panda Flower (Golden Pineapple/28g),,Phat Panda,,260.32,6,2026-04-14
Sativa - Melon Bar,,Micro Bar,,260.0,26,2026-06-16
Indica - Hawaiian Zkittlez Snickle Fritz Cart,,Snickle Fritz,,257.0,51,2026-05-18
Indica - Mango Strawberry,,Micro Bar,,250.0,25,2026-03-29
Hot Shotz - Huckleberry 50mg CBN/100mg THC,,Hot Shotz,,244.8,60,2026-06-08
Sativa - Peach Berry,,Micro Bar,,240.0,24,2026-04-18
Orange Tangie,,Micro Bar,,240.0,16,2026-01-26
Pink Lemonade,,Micro Bar,,240.0,16,2026-01-26
Triangle Kush 1g Preroll,,Phat Panda,,238.0,170,2026-04-14
Hybrid - GSC Panda Pen,,Panda Concentrates,,237.1,34,2026-04-14
Non GMO 1g Preroll,,Phat Panda,,230.6,150,2026-06-08
Sativa - Peach Ringz Sparklers,,Phat Panda,,226.5,70,2026-05-03
Phat Panda Flower (Jack Herer/3.5g),,Phat Panda,,224.54,34,2026-06-08
Phat Panda Flower (Golden Pineapple/7g),,Phat Panda,,223.9,20,2026-06-08
Indica - Raspberry Skywalker Panda Pen AIO,,Panda Concentrates,,220.78,26,2026-06-08
Sativa - 3pk Train Wreck Snickle Fritz Cart,,Snickle Fritz,,220.0,22,2026-05-03
Chronberry Crunch - Platinum 1g Preroll,,Phat Panda,,219.75,155,2026-03-13
Energy Hot Shotz - Fruit Punch,,Hot Shotz,,219.6,72,2026-06-08
Jack Herer LR Dabstract 1g C-Cell - (S),,Dabstract,,218.0,20,2026-05-03
Golden Pineapple LR Dabstract 1g AIO - (S),,Dabstract,,216.7,18,2026-04-14
Indica - Raspberry Skywalker Sparklers,,Phat Panda,,215.7,65,2026-06-08
Lemon Cherry Gelato 1g Preroll,,Phat Panda,,215.6,140,2026-06-08
Sativa - 3pk Pineapple Upside Down Cake SF Cart,,Snickle Fritz,,210.0,21,2026-06-08
Hybrid - Wedding Cake Panda Pen,,Panda Concentrates,,210.0,30,2026-03-01
Hybrid - Candy Gas Snickle Fritz Cart,,Snickle Fritz,,208.25,41,2026-06-08
Indica - Raspberry Skywalker Infused Preroll,,Phat Panda,,206.4,70,2026-06-08
Hybrid - Washington Apple Infused Preroll,,Phat Panda,,203.1,70,2026-06-08
Powdered Donut 1g Preroll,,Phat Panda,,201.2,140,2026-05-18
Golden Pineapple 1g Preroll,,Phat Panda,,200.5,140,2026-06-08
Kush Mintz - Platinum 1g Preroll,,Phat Panda,,199.8,140,2026-03-13
Gary Payton 1g Preroll,,Phat Panda,,199.8,130,2026-06-08
Indica - Biscotti Snickle Fritz Cart,,Snickle Fritz,,197.0,39,2026-05-18
Hybrid - White Razz,,Micro Bar,,196.68,19,2026-06-16
Phat Panda Flower (OG Chem/28g),,Phat Panda,,192.0,6,2026-06-08
Sour Watermelon Panda Candies,,Hot Sugar,,191.51,57,2026-06-08
Guava Cupcakes LR Dabstract 1g C-Cell - (S),,Dabstract,,185.0,18,2026-06-08
Phat Panda Flower (Rainbow Sherbert/28g),,Phat Panda,,184.82,4,2026-06-08
Phat Panda Flower (Truffle Shuffle/28g),,Phat Panda,,184.82,4,2026-06-08
Sativa - Green Crack Panda Pen,,Panda Concentrates,,182.0,26,2026-03-01
Indica - Otter Popz Panda Pen,,Panda Concentrates,,180.25,25,2026-06-08
Indica - Mixed Berriez,,Micro Bar,,180.0,12,2026-06-16
Trophy Wife LR Infused Preroll - (I),,Dabstract,,179.9,50,2026-05-03
Phat Panda Flower (Golden Pineapple/14g),,Phat Panda,,177.5,8,2026-06-08
Sativa - Gusherz Infused Preroll,,Phat Panda,,176.4,60,2026-06-08
Sativa - Tropical Slushie Snickle Fritz Cart,,Snickle Fritz,,170.02,32,2026-05-03
