Store,Panda YTD Spend,Panda Units,Units/SKU,Proposal Total,PDF Filename
[MS] Main Street Marijuana East - 1WT,777244.52,145662,20,514.2,[MS] Main Street Marijuana East - 1WT PICC Proposal.pdf
[GREC] Greenside Rec Des Moines - VMI - 1WT,499146.25,86173,20,514.2,[GREC] Greenside Rec Des Moines - VMI - 1WT PICC Proposal.pdf
[MS] Green Daze Cannabis - 1WT,487309.94,86339,20,514.2,[MS] Green Daze Cannabis - 1WT PICC Proposal.pdf
[IKE] Uncle Ikes White Center - VMI,477480.28,101931,20,514.2,[IKE] Uncle Ikes White Center - VMI PICC Proposal.pdf
[MS] Main Street Marijuana North - 1WT,473947.94,84554,20,514.2,[MS] Main Street Marijuana North - 1WT PICC Proposal.pdf
[LLF] Lucky Leaf Pasco - VMI - 1WT,471300.24,73087,20,514.2,[LLF] Lucky Leaf Pasco - VMI - 1WT PICC Proposal.pdf
[AGT] A Greener Today Walla Walla - VMI - 1WT,469942.25,129417,20,514.2,[AGT] A Greener Today Walla Walla - VMI - 1WT PICC Proposal.pdf
[HBRY] Herbery Chkalov (H3) - VMI,415529.24,82550,20,514.2,[HBRY] Herbery Chkalov (H3) - VMI PICC Proposal.pdf
[MS] Main Street Marijuana Downtown - 1WT,406915.91,77192,20,514.2,[MS] Main Street Marijuana Downtown - 1WT PICC Proposal.pdf
[MS] Main Street Marijuana Orchards - 1WT,382002.05,76330,20,514.2,[MS] Main Street Marijuana Orchards - 1WT PICC Proposal.pdf
[IKE] Uncle Ikes Lake City - VMI,336205.28,71387,20,514.2,[IKE] Uncle Ikes Lake City - VMI PICC Proposal.pdf
Seattle Tonics - 1WT,328343.04,54355,20,514.2,Seattle Tonics - 1WT PICC Proposal.pdf
[K21] Kush 21 Burien - VMI,303065.81,59238,20,514.2,[K21] Kush 21 Burien - VMI PICC Proposal.pdf
[K21] Kush 21 Buckley - VMI - 1WT,291381.78,54551,20,514.2,[K21] Kush 21 Buckley - VMI - 1WT PICC Proposal.pdf
[APEX] Apex Cannabis Moses Lake - VMI - 1WT,283645.46,45656,20,514.2,[APEX] Apex Cannabis Moses Lake - VMI - 1WT PICC Proposal.pdf
Fire and Frost - VMI,281451.53,57835,20,514.2,Fire and Frost - VMI PICC Proposal.pdf
[HI5] High-5 Vancouver - 1WT,278930.86,42350,20,514.2,[HI5] High-5 Vancouver - 1WT PICC Proposal.pdf
Canna4Life - VMI,278058.74,40788,19,488.49,Canna4Life - VMI PICC Proposal.pdf
[HBRY] Herbery Fourth Plain (H5) - VMI,265142.16,53395,19,488.49,[HBRY] Herbery Fourth Plain (H5) - VMI PICC Proposal.pdf
[K21] Kush 21 Cannabis Sodo - VMI - 1WT,263316.87,53433,19,488.49,[K21] Kush 21 Cannabis Sodo - VMI - 1WT PICC Proposal.pdf
[AGT] A Greener Today Bothell - VMI - 1WT,259292.66,44361,19,488.49,[AGT] A Greener Today Bothell - VMI - 1WT PICC Proposal.pdf
[IKE] Uncle Ikes 23rd & Union - VMI,252511.19,60728,19,488.49,[IKE] Uncle Ikes 23rd & Union - VMI PICC Proposal.pdf
[IKE] Uncle Ikes Olive Way - VMI,249406.98,61454,19,488.49,[IKE] Uncle Ikes Olive Way - VMI PICC Proposal.pdf
[RTS] Local Roots - Yakima - VMI,227109.51,40702,19,488.49,[RTS] Local Roots - Yakima - VMI PICC Proposal.pdf
[K21] Locals Canna House - VMI - 1WT,225916.37,33508,19,488.49,[K21] Locals Canna House - VMI - 1WT PICC Proposal.pdf
[HBRY] Herbery 78th (H4) - VMI,216491.68,42759,19,488.49,[HBRY] Herbery 78th (H4) - VMI PICC Proposal.pdf
Joint Rivers Cannabis - VMI - 1WT,213507.01,38691,19,488.49,Joint Rivers Cannabis - VMI - 1WT PICC Proposal.pdf
[WDRY] Walla Walla Weedery - VMI - 1WT,211167.71,62882,19,488.49,[WDRY] Walla Walla Weedery - VMI - 1WT PICC Proposal.pdf
[EUPM] Euphorium Covington - VMI - 1WT,201551.22,36599,19,488.49,[EUPM] Euphorium Covington - VMI - 1WT PICC Proposal.pdf
[AGT] A Greener Today Gold Bar - VMI - 1WT,200672.99,34629,19,488.49,[AGT] A Greener Today Gold Bar - VMI - 1WT PICC Proposal.pdf
[BBN] Bud Barn Yelm - VMI - 1WT,199899.28,45208,19,488.49,[BBN] Bud Barn Yelm - VMI - 1WT PICC Proposal.pdf
[EGM] Evergreen Market Auburn - VMI - 1WT,196384.54,28390,19,488.49,[EGM] Evergreen Market Auburn - VMI - 1WT PICC Proposal.pdf
[MS] Shawn Kemp's Cannabis - Belltown - 1WT,194061.76,30671,19,488.49,[MS] Shawn Kemp's Cannabis - Belltown - 1WT PICC Proposal.pdf
[K21] Kush21 Everett - VMI,191306.1,34313,19,488.49,[K21] Kush21 Everett - VMI PICC Proposal.pdf
[FLYD] Dank's Renton - VMI,184076.02,30499,19,488.49,[FLYD] Dank's Renton - VMI PICC Proposal.pdf
[C&G] Cannabis & Glass Liberty Lake - 1WT,180888.23,25039,19,488.49,[C&G] Cannabis & Glass Liberty Lake - 1WT PICC Proposal.pdf
[HBRY] Herbery St John (H2) - VMI,164713.85,34463,19,488.49,[HBRY] Herbery St John (H2) - VMI PICC Proposal.pdf
Q'anapsu LLC - 1WT,161954.95,22696,19,488.49,Q'anapsu LLC - 1WT PICC Proposal.pdf
[RTS] Local Roots - Tacoma - VMI - 1WT,161449.37,33562,19,488.49,[RTS] Local Roots - Tacoma - VMI - 1WT PICC Proposal.pdf
[AGT] A Greener Today MLK - VMI,161005.08,33982,19,488.49,[AGT] A Greener Today MLK - VMI PICC Proposal.pdf
[BBN] Bud Barn Lacey - VMI - 1WT,159203.72,39820,19,488.49,[BBN] Bud Barn Lacey - VMI - 1WT PICC Proposal.pdf
[APEX] Apex Cannabis Otis Orchards - VMI - 1WT,157753.68,23435,19,488.49,[APEX] Apex Cannabis Otis Orchards - VMI - 1WT PICC Proposal.pdf
Mary Mart Inc. - VMI,157190.66,30958,19,488.49,Mary Mart Inc. - VMI PICC Proposal.pdf
[EGM] Evergreen Market South Renton - VMI - 1WT,155149.1,21251,19,488.49,[EGM] Evergreen Market South Renton - VMI - 1WT PICC Proposal.pdf
[AGT] A Greener Today Shoreline - VMI,154886.94,34362,19,488.49,[AGT] A Greener Today Shoreline - VMI PICC Proposal.pdf
[IKE] Uncle Ikes Capitol Hill - VMI,147184.21,34341,19,488.49,[IKE] Uncle Ikes Capitol Hill - VMI PICC Proposal.pdf
[HLF] Higher Leaf Kirkland - VMI - 1WT,145737.68,26690,19,488.49,[HLF] Higher Leaf Kirkland - VMI - 1WT PICC Proposal.pdf
[FLYD] Floyd's Cannabis Mount Vernon - VMI,144588.64,26513,19,488.49,[FLYD] Floyd's Cannabis Mount Vernon - VMI PICC Proposal.pdf
28 Grahams Cannabis - VMI,142056.0,20727,19,488.49,28 Grahams Cannabis - VMI PICC Proposal.pdf
[FMKT] Freedom Market Ilwaco - VMI - 1WT,141521.41,28036,18,462.78,[FMKT] Freedom Market Ilwaco - VMI - 1WT PICC Proposal.pdf
[RTS] Local Roots - Everett 128th - VMI,139797.7,28197,18,462.78,[RTS] Local Roots - Everett 128th - VMI PICC Proposal.pdf
[420] 420 Carpenter - 1WT,138163.56,26697,18,462.78,[420] 420 Carpenter - 1WT PICC Proposal.pdf
[420] 420 Capitol - 1WT,133820.12,26270,18,462.78,[420] 420 Capitol - 1WT PICC Proposal.pdf
[SLBN] The Slow Burn Market,133171.75,24549,18,462.78,[SLBN] The Slow Burn Market PICC Proposal.pdf
[APEX] Apex Cannabis - Market Street - VMI,131759.55,26197,18,462.78,[APEX] Apex Cannabis - Market Street - VMI PICC Proposal.pdf
